pathway	gene	frequency	log_likelihood	correlation	baysian	rank	pubmed_id
ABC_TRANSPORTERS	ABCB4	1	9.57179870951	0.432963086278	0.0526315789474	1	15077010
ABC_TRANSPORTERS	CD9	1	9.57179870951	0.577339254117	0.0350877192982	2	23799853
ABC_TRANSPORTERS	ABCB6	6	65.9162335055	0.451757317972	0.105263157895	3	11017767,11478798,18405356,25360778
ABC_TRANSPORTERS	ABCG2	1	9.57179870951	0.30604293341	0.0350877192982	4	11017767
ABC_TRANSPORTERS	ABCA4	4	44.69992778	0.101858349799	0.0877192982456	5	9666097,10958763,16681420
ABC_TRANSPORTERS	ABCC1	3	26.6231976526	0.182322734338	0.0526315789474	6	11766988,23799853
ABC_TRANSPORTERS	ABCG5	2	20.9208941184	0.101858349799	0.0526315789474	7	11452359
ABC_TRANSPORTERS	ABCD1	1	9.57179870951	-0.000165417240879	0.0175438596491	8	11883941
ABC_TRANSPORTERS	MMRN1	1	5.67956738564	0.0641345153619	0.0350877192982	9	23206951
ABC_TRANSPORTERS	ABCB11	1	9.57179870951	-0.000165417240879	0.0175438596491	10	15077010
ABC_TRANSPORTERS	ABCA1	2	16.3802659253	0.203950641604	0.0350877192982	11	11478798,16681420
ABC_TRANSPORTERS	ABCB1	1	7.85396552645	-0.000233942006887	0.0175438596491	12	24494862
ABC_TRANSPORTERS	ABCC2	1	8.52943192952	-0.000209241694455	0.0175438596491	13	9425227
ABC_TRANSPORTERS	ABCD3	1		0.288586918438	0.0175438596491	14	11883941
ABC_TRANSPORTERS	ABCD2	1		0.288586918438	0.0175438596491	15	11883941
ABC_TRANSPORTERS	ABCC5	1	9.57179870951	-0.000165417240879	0.0175438596491	16	17521428
ABC_TRANSPORTERS	TNFSF14	1	6.95417237619	-0.000313880525086	0.0175438596491	17	22982209
ABC_TRANSPORTERS	CFTR	1	5.05018870643	-0.000418540942726	0.0175438596491	18	23578801
ABC_TRANSPORTERS	ABCC12	1		0.144210750599	0.0175438596491	19	12801629
ABC_TRANSPORTERS	ABCA2	1		0.288586918438	0.0175438596491	20	11478798
ABC_TRANSPORTERS	MDM4	2	13.6177400631	-0.000353713125927	0.0350877192982	21	11766988,12706887
ABC_TRANSPORTERS	ABCC6	2		0.144210750599	0.0350877192982	22	11179012,18405356
ABC_TRANSPORTERS	POMT1	2	10.0210240373	0.135546677209	0.0350877192982	23	18405356,23799853
ABC_TRANSPORTERS	DYNAP	1	3.82356986729	-0.000324899603701	0.0175438596491	24	12706902
ABC_TRANSPORTERS	ATP8A2	2	13.9626526331	-0.000405245880489	0.0350877192982	25	8651290,19152224
ABC_TRANSPORTERS	ABCA13	1		0.144210750599	0.0175438596491	26	12706902
ACTIN_BINDING	CTTN	7	53.5429800162	0.178897401465	0.0473933649289	1	12952985,15710041,22195012,24532043
ACTIN_BINDING	MTSS1	6	48.3416644041	0.184225845202	0.0473933649289	2	15688017,15870888,17925019,17497115,22316129
ACTIN_BINDING	FGF10	1	7.16004318558	0.316210280264	0.00947867298578	3	22195012
ACTIN_BINDING	MYH14	9	50.3029904618	0.0816827391563	0.0473933649289	4	9415999,9490638,15240004,22316291,23382379,28101865
ACTIN_BINDING	SRC	3	8.21873785806	0.0653364891114	0.0142180094787	5	7739042,15240004,22195012
ACTIN_BINDING	FGFR2	2	4.24689320457	0.164996085531	0.0236966824645	6	22195012
ACTIN_BINDING	NF2	5	28.6633234402	0.190811276108	0.0284360189573	7	9486775,9537418
ACTIN_BINDING	GSN	4	32.1618327227	0.12243411822	0.0236966824645	8	8703941,9282921,10366446,19075745
ACTIN_BINDING	ZASP	4	34.7822932139	0.0890628288681	0.0236966824645	9	24668811,28349680
ACTIN_BINDING	PRRT2	2	5.30857949704	0.0529376745068	0.0236966824645	10	8663149
ACTIN_BINDING	RERE	1	4.58201861399	0.17837437441	0.00947867298578	11	16310306
ACTIN_BINDING	DBN1	1	6.12757599121	0.0278655346035	0.00947867298578	12	28865011
ACTIN_BINDING	LYN	1	6.12757599121	0.0629751262388	0.00473933649289	13	24532043
ACTIN_BINDING	ABL2	1	4.26115698455	0.102580209562	0.00947867298578	14	16310306
ACTIN_BINDING	SYNE2	2	14.3361370435	0.199208336101	0.0189573459716	15	18477613
ACTIN_BINDING	ENAH	4	28.7370207999	0.118899800499	0.0189573459716	16	15656790,15661649,18985426,22316129
ACTIN_BINDING	RRAS	1	7.16004318558	0.0442954728234	0.00473933649289	17	25808489
ACTIN_BINDING	SHBG	2	7.99170575675	0.0433326169528	0.00473933649289	18	9694715
ACTIN_BINDING	CCDC88A	4	24.60579099	0.0709148204871	0.0189573459716	19	8088819,7730405,15765532,25369766
ACTIN_BINDING	PDLIM5	2	9.179190283	-0.000707875529666	0.00947867298578	20	10196227,24668811
ACTIN_BINDING	ANGPTL2	1	4.97069737164	0.0888332494402	0.00473933649289	21	12952985
ACTIN_BINDING	DMD	7	24.3423517992	0.0102227844408	0.0331753554502	22	1319059,8513330,7936290,7853367,10556294,26568816,26745801
ACTIN_BINDING	WAS	1	3.98849598784	0.081133504006	0.00947867298578	23	22316129
ACTIN_BINDING	VWF	1	4.58201861399	0.0430382115321	0.00947867298578	24	9694715
ACTIN_BINDING	ACTR2	1	4.97069737164	0.145635808085	0.00473933649289	25	12952985
ACTIN_BINDING	MSN	1		0.442827857277	0.00947867298578	26	9537418
ACTIN_BINDING	NEB	3	18.4303349935	0.0836438222159	0.0142180094787	27	9733644,16276103,18677772
ACTIN_BINDING	NEBL	1	3.35692865157	0.0725289274864	0.00947867298578	28	18677772
ACTIN_BINDING	VASP	3		0.19774473322	0.0142180094787	29	15661649,22316129,23956979
ACTIN_BINDING	AOC1	2		0.189592703252	0.00473933649289	30	9694715
ACTIN_BINDING	ETV6	1	3.75187477714	0.125961077441	0.00473933649289	31	16310306
ACTIN_BINDING	NR3C1	2	3.79637054307	0.00707557905083	0.0142180094787	32	16914116,24937701
ACTIN_BINDING	MARCKS	1	7.16004318558	-0.000333662267563	0.00473933649289	33	10602987
ACTIN_BINDING	NEFL	1	6.12757599121	0.0890628288681	0.00473933649289	34	19840884
ACTIN_BINDING	NHS	1		0.316210280264	0.00473933649289	35	22316129
ACTIN_BINDING	CALD1	1	5.46200974361	0.112805133912	0.00473933649289	36	22316291
ACTIN_BINDING	AKT2	1	3.98849598784	0.0414325888941	0.00473933649289	37	26916021
ACTIN_BINDING	MAP2K4	1	7.16004318558	0.0278655346035	0.00473933649289	38	20156194
ACTIN_BINDING	HCLS1	2		0.178597540958	0.00947867298578	39	15710041
